Ensembl	Gene	"Gene description"
ENSG00000171533	MAP6	"Microtubule associated protein 6"
ENSG00000072864	NDE1	"NudE neurodevelopment protein 1"
ENSG00000166579	NDEL1	"NudE neurodevelopment protein 1 like 1"
ENSG00000167552	TUBA1A	"Tubulin alpha 1a"
ENSG00000143924	EML4	"EMAP like 4"
ENSG00000054523	KIF1B	"Kinesin family member 1B"
ENSG00000134709	HOOK1	"Hook microtubule tethering protein 1"
ENSG00000186625	KATNA1	"Katanin catalytic subunit A1"
ENSG00000118193	KIF14	"Kinesin family member 14"
ENSG00000138182	KIF20B	"Kinesin family member 20B"
ENSG00000068796	KIF2A	"Kinesin family member 2A"
ENSG00000164114	MAP9	"Microtubule associated protein 9"
ENSG00000100503	NIN	Ninein
ENSG00000189350	TOGARAM2	"TOG array regulator of axonemal microtubules 2"
ENSG00000115266	APC2	"APC regulator of WNT signaling pathway 2"
ENSG00000197102	DYNC1H1	"Dynein cytoplasmic 1 heavy chain 1"
ENSG00000117245	KIF17	"Kinesin family member 17"
ENSG00000140859	KIFC3	"Kinesin family member C3"
ENSG00000072518	MARK2	"Microtubule affinity regulating kinase 2"
ENSG00000101871	MID1	"Midline 1"
ENSG00000168502	MTCL1	"Microtubule crosslinking factor 1"
ENSG00000115841	RMDN2	"Regulator of microtubule dynamics 2"
ENSG00000104237	RP1	"RP1 axonemal microtubule associated"
ENSG00000129422	MTUS1	"Microtubule associated scaffold protein 1"
ENSG00000127824	TUBA4A	"Tubulin alpha 4a"
ENSG00000198033	TUBA3C	"Tubulin alpha 3c"
ENSG00000152086	TUBA3E	"Tubulin alpha 3e"
ENSG00000141200	KIF2B	"Kinesin family member 2B"
ENSG00000198901	PRC1	"Protein regulator of cytokinesis 1"
ENSG00000125746	EML2	"EMAP like 2"
ENSG00000182263	FIGN	"Fidgetin, microtubule severing factor"
ENSG00000131351	HAUS8	"HAUS augmin like complex subunit 8"
ENSG00000095066	HOOK2	"Hook microtubule tethering protein 2"
ENSG00000168172	HOOK3	"Hook microtubule tethering protein 3"
ENSG00000102781	KATNAL1	"Katanin catalytic subunit A1 like 1"
ENSG00000196169	KIF19	"Kinesin family member 19"
ENSG00000137807	KIF23	"Kinesin family member 23"
ENSG00000134222	PSRC1	"Proline and serine rich coiled-coil 1"
ENSG00000176623	RMDN1	"Regulator of microtubule dynamics 1"
ENSG00000151914	DST	Dystonin
ENSG00000134982	APC	"APC regulator of WNT signaling pathway"
ENSG00000087586	AURKA	"Aurora kinase A"
ENSG00000151849	CENPJ	"Centromere protein J"
ENSG00000066629	EML1	"EMAP like 1"
ENSG00000072803	FBXW11	"F-box and WD repeat domain containing 11"
ENSG00000137814	HAUS2	"HAUS augmin like complex subunit 2"
ENSG00000137177	KIF13A	"Kinesin family member 13A"
ENSG00000130294	KIF1A	"Kinesin family member 1A"
ENSG00000186638	KIF24	"Kinesin family member 24"
ENSG00000125337	KIF25	"Kinesin family member 25"
ENSG00000137824	RMDN3	"Regulator of microtubule dynamics 3"
ENSG00000109171	SLAIN2	"SLAIN motif family member 2"
ENSG00000117632	STMN1	"Stathmin 1"
ENSG00000104435	STMN2	"Stathmin 2"
ENSG00000132938	MTUS2	"Microtubule associated scaffold protein 2"
ENSG00000151746	BICD1	"BICD cargo adaptor 1"
ENSG00000105270	CLIP3	"CAP-Gly domain containing linker protein 3"
ENSG00000158560	DYNC1I1	"Dynein cytoplasmic 1 intermediate chain 1"
ENSG00000147874	HAUS6	"HAUS augmin like complex subunit 6"
ENSG00000094631	HDAC6	"Histone deacetylase 6"
ENSG00000152969	JAKMIP1	"Janus kinase and microtubule interacting protein 1"
ENSG00000138160	KIF11	"Kinesin family member 11"
ENSG00000155980	KIF5A	"Kinesin family member 5A"
ENSG00000237649	KIFC1	"Kinesin family member C1"
ENSG00000101460	MAP1LC3A	"Microtubule associated protein 1 light chain 3 alpha"
ENSG00000180834	MAP6D1	"MAP6 domain containing 1"
ENSG00000155875	SAXO1	"Stabilizer of axonemal microtubules 1"
ENSG00000075886	TUBA3D	"Tubulin alpha 3d"
ENSG00000183914	DNAH2	"Dynein axonemal heavy chain 2"
ENSG00000154839	SKA1	"Spindle and kinetochore associated complex subunit 1"
ENSG00000214367	HAUS3	"HAUS augmin like complex subunit 3"
ENSG00000138175	ARL3	"ADP ribosylation factor like GTPase 3"
ENSG00000185963	BICD2	"BICD cargo adaptor 2"
ENSG00000154429	CCSAP	"Centriole, cilia and spindle associated protein"
ENSG00000077279	DCX	Doublecortin
ENSG00000197653	DNAH10	"Dynein axonemal heavy chain 10"
ENSG00000105255	FSD1	"Fibronectin type III and SPRY domain containing 1"
ENSG00000075218	GTSE1	"G2 and S-phase expressed 1"
ENSG00000136883	KIF12	"Kinesin family member 12"
ENSG00000129250	KIF1C	"Kinesin family member 1C"
ENSG00000090889	KIF4A	"Kinesin family member 4A"
ENSG00000167566	NCKAP5L	"NCK associated protein 5 like"
ENSG00000137804	NUSAP1	"Nucleolar and spindle associated protein 1"
ENSG00000166851	PLK1	"Polo like kinase 1"
ENSG00000138100	TRIM54	"Tripartite motif containing 54"
ENSG00000111199	TRPV4	"Transient receptor potential cation channel subfamily V member 4"
ENSG00000128881	TTBK2	"Tau tubulin kinase 2"
ENSG00000123416	TUBA1B	"Tubulin alpha 1b"
ENSG00000166037	CEP57	"Centrosomal protein 57"
ENSG00000077380	DYNC1I2	"Dynein cytoplasmic 1 intermediate chain 2"
ENSG00000143702	CEP170	"Centrosomal protein 170"
ENSG00000088986	DYNLL1	"Dynein light chain LC8-type 1"
ENSG00000170296	GABARAP	"GABA type A receptor-associated protein"
ENSG00000152240	HAUS1	"HAUS augmin like complex subunit 1"
ENSG00000092036	HAUS4	"HAUS augmin like complex subunit 4"
ENSG00000249115	HAUS5	"HAUS augmin like complex subunit 5"
ENSG00000189159	JPT1	"Jupiter microtubule associated homolog 1"
ENSG00000206053	JPT2	"Jupiter microtubule associated homolog 2"
ENSG00000167216	KATNAL2	"Katanin catalytic subunit A1 like 2"
ENSG00000197892	KIF13B	"Kinesin family member 13B"
ENSG00000089177	KIF16B	"Kinesin family member 16B"
ENSG00000112984	KIF20A	"Kinesin family member 20A"
ENSG00000139116	KIF21A	"Kinesin family member 21A"
ENSG00000084731	KIF3C	"Kinesin family member 3C"
ENSG00000168280	KIF5C	"Kinesin family member 5C"
ENSG00000164627	KIF6	"Kinesin family member 6"
ENSG00000167702	KIFC2	"Kinesin family member C2"
ENSG00000128944	KNSTRN	"Kinetochore localized astrin (SPAG5) binding protein"
ENSG00000258102	MAP1LC3B2	"Microtubule associated protein 1 light chain 3 beta 2"
ENSG00000197769	MAP1LC3C	"Microtubule associated protein 1 light chain 3 gamma"
ENSG00000129680	MAP7D3	"MAP7 domain containing 3"
ENSG00000086015	MAST2	"Microtubule associated serine/threonine kinase 2"
ENSG00000078674	PCM1	"Pericentriolar material 1"
ENSG00000188659	SAXO2	"Stabilizer of axonemal microtubules 2"
ENSG00000076382	SPAG5	"Sperm associated antigen 5"
ENSG00000197457	STMN3	"Stathmin 3"
ENSG00000156232	WHAMM	"WASP homolog associated with actin, golgi membranes and microtubules"
ENSG00000010244	ZNF207	"Zinc finger protein 207"
ENSG00000104833	TUBB4A	"Tubulin beta 4A class IVa"
ENSG00000104419	NDRG1	"N-myc downstream regulated 1"
ENSG00000137285	TUBB2B	"Tubulin beta 2B class IIb"
ENSG00000146038	DCDC2	"Doublecortin domain containing 2"
ENSG00000162849	KIF26B	"Kinesin family member 26B"
ENSG00000075945	KIFAP3	"Kinesin associated protein 3"
ENSG00000101004	NINL	"Ninein like"
ENSG00000170703	TTLL6	"Tubulin tyrosine ligase like 6"
ENSG00000183785	TUBA8	"Tubulin alpha 8"
ENSG00000213465	ARL2	"ADP ribosylation factor like GTPase 2"
ENSG00000137343	ATAT1	"Alpha tubulin acetyltransferase 1"
ENSG00000141376	BCAS3	"BCAS3 microtubule associated cell migration factor"
ENSG00000089685	BIRC5	"Baculoviral IAP repeat containing 5"
ENSG00000077274	CAPN6	"Calpain 6"
ENSG00000180376	CCDC66	"Coiled-coil domain containing 66"
ENSG00000168944	CEP120	"Centrosomal protein 120"
ENSG00000135837	CEP350	"Centrosomal protein 350"
ENSG00000187446	CHP1	"Calcineurin like EF-hand protein 1"
ENSG00000141551	CSNK1D	"Casein kinase 1 delta"
ENSG00000083799	CYLD	"CYLD lysine 63 deubiquitinase"
ENSG00000137100	DCTN3	"Dynactin subunit 3"
ENSG00000105877	DNAH11	"Dynein axonemal heavy chain 11"
ENSG00000185842	DNAH14	"Dynein axonemal heavy chain 14"
ENSG00000187775	DNAH17	"Dynein axonemal heavy chain 17"
ENSG00000158486	DNAH3	"Dynein axonemal heavy chain 3"
ENSG00000039139	DNAH5	"Dynein axonemal heavy chain 5"
ENSG00000115423	DNAH6	"Dynein axonemal heavy chain 6"
ENSG00000124721	DNAH8	"Dynein axonemal heavy chain 8"
ENSG00000007174	DNAH9	"Dynein axonemal heavy chain 9"
ENSG00000100246	DNAL4	"Dynein axonemal light chain 4"
ENSG00000107404	DVL1	"Dishevelled segment polarity protein 1"
ENSG00000135720	DYNC1LI2	"Dynein cytoplasmic 1 light intermediate chain 2"
ENSG00000138036	DYNC2LI1	"Dynein cytoplasmic 2 light intermediate chain 1"
ENSG00000182511	FES	"FES proto-oncogene, tyrosine kinase"
ENSG00000129682	FGF13	"Fibroblast growth factor 13"
ENSG00000139354	GAS2L3	"Growth arrest specific 2 like 3"
ENSG00000213397	HAUS7	"HAUS augmin like complex subunit 7"
ENSG00000116852	KIF21B	"Kinesin family member 21B"
ENSG00000079616	KIF22	"Kinesin family member 22"
ENSG00000165115	KIF27	"Kinesin family member 27"
ENSG00000226650	KIF4B	"Kinesin family member 4B"
ENSG00000107816	LZTS2	"Leucine zipper tumor suppressor 2"
ENSG00000116141	MARK1	"Microtubule affinity regulating kinase 1"
ENSG00000075413	MARK3	"Microtubule affinity regulating kinase 3"
ENSG00000105613	MAST1	"Microtubule associated serine/threonine kinase 1"
ENSG00000204899	MZT1	"Mitotic spindle organizing protein 1"
ENSG00000067798	NAV3	"Neuron navigator 3"
ENSG00000160299	PCNT	Pericentrin
ENSG00000178104	PDE4DIP	"Phosphodiesterase 4D interacting protein"
ENSG00000068028	RASSF1	"Ras association domain family member 1"
ENSG00000182628	SKA2	"Spindle and kinetochore associated complex subunit 2"
ENSG00000165480	SKA3	"Spindle and kinetochore associated complex subunit 3"
ENSG00000101222	SPEF1	"Sperm flagellar 1"
ENSG00000160551	TAOK1	"TAO kinase 1"
ENSG00000141556	TBCD	"Tubulin folding cofactor D"
ENSG00000159713	TPPP3	"Tubulin polymerization promoting protein family member 3"
ENSG00000074935	TUBE1	"Tubulin epsilon 1"
ENSG00000126756	UXT	"Ubiquitously expressed prefoldin like chaperone"
ENSG00000167553	TUBA1C	"Tubulin alpha 1c"
ENSG00000138107	ACTR1A	"Actin related protein 1A"
ENSG00000092850	TEKT2	"Tektin 2"
ENSG00000165660	ABRAXAS2	"Abraxas 2, BRISC complex subunit"
ENSG00000062725	APPBP2	"Amyloid beta precursor protein binding protein 2"
ENSG00000140463	BBS4	"Bardet-Biedl syndrome 4"
ENSG00000168071	CCDC88B	"Coiled-coil domain containing 88B"
ENSG00000176749	CDK5R1	"Cyclin dependent kinase 5 regulatory subunit 1"
ENSG00000170959	DCDC1	"Doublecortin domain containing 1"
ENSG00000114841	DNAH1	"Dynein axonemal heavy chain 1"
ENSG00000174844	DNAH12	"Dynein axonemal heavy chain 12"
ENSG00000118997	DNAH7	"Dynein axonemal heavy chain 7"
ENSG00000079805	DNM2	"Dynamin 2"
ENSG00000197959	DNM3	"Dynamin 3"
ENSG00000144635	DYNC1LI1	"Dynein cytoplasmic 1 light intermediate chain 1"
ENSG00000187240	DYNC2H1	"Dynein cytoplasmic 2 heavy chain 1"
ENSG00000264364	DYNLL2	"Dynein light chain LC8-type 2"
ENSG00000167110	GOLGA2	"Golgin A2"
ENSG00000153187	HNRNPU	"Heterogeneous nuclear ribonucleoprotein U"
ENSG00000176049	JAKMIP2	"Janus kinase and microtubule interacting protein 2"
ENSG00000188385	JAKMIP3	"Janus kinase and microtubule interacting protein 3"
ENSG00000163808	KIF15	"Kinesin family member 15"
ENSG00000066735	KIF26A	"Kinesin family member 26A"
ENSG00000166813	KIF7	"Kinesin family member 7"
ENSG00000088727	KIF9	"Kinesin family member 9"
ENSG00000104892	KLC3	"Kinesin light chain 3"
ENSG00000120539	MASTL	"Microtubule associated serine/threonine kinase like"
ENSG00000111554	MDM1	"Mdm1 nuclear protein"
ENSG00000173846	PLK3	"Polo like kinase 3"
ENSG00000124214	STAU1	"Staufen double-stranded RNA binding protein 1"
ENSG00000114999	TTL	"Tubulin tyrosine ligase"
ENSG00000136158	SPRY2	"Sprouty RTK signaling antagonist 2"
ENSG00000196230	TUBB	"Tubulin beta class I"
ENSG00000137267	TUBB2A	"Tubulin beta 2A class IIa"
ENSG00000101162	TUBB1	"Tubulin beta 1 class VI"
ENSG00000258947	TUBB3	"Tubulin beta 3 class III"
ENSG00000134369	NAV1	"Neuron navigator 1"
ENSG00000099910	KLHL22	"Kelch like family member 22"
ENSG00000127914	AKAP9	"A-kinase anchoring protein 9"
ENSG00000116127	ALMS1	"ALMS1 centrosome and basal body associated protein"
ENSG00000116584	ARHGEF2	"Rho/Rac guanine nucleotide exchange factor 2"
ENSG00000066279	ASPM	"Assembly factor for spindle microtubules"
ENSG00000163635	ATXN7	"Ataxin 7"
ENSG00000107949	BCCIP	"BRCA2 and CDKN1A interacting protein"
ENSG00000198668	CALM1	"Calmodulin 1"
ENSG00000143933	CALM2	"Calmodulin 2"
ENSG00000160014	CALM3	"Calmodulin 3"
ENSG00000107771	CCSER2	"Coiled-coil serine rich protein 2"
ENSG00000170312	CDK1	"Cyclin dependent kinase 1"
ENSG00000166004	CEP295	"Centrosomal protein 295"
ENSG00000183137	CEP57L1	"Centrosomal protein 57 like 1"
ENSG00000185043	CIB1	"Calcium and integrin binding 1"
ENSG00000115295	CLIP4	"CAP-Gly domain containing linker protein family member 4"
ENSG00000119878	CRIPT	"CXXC repeat containing interactor of PDZ3 domain"
ENSG00000109846	CRYAB	"Crystallin alpha B"
ENSG00000222046	DCDC2B	"Doublecortin domain containing 2B"
ENSG00000170390	DCLK2	"Doublecortin like kinase 2"
ENSG00000175203	DCTN2	"Dynactin subunit 2"
ENSG00000162946	DISC1	"DISC1 scaffold protein"
ENSG00000075711	DLG1	"Discs large MAGUK scaffold protein 1"
ENSG00000106976	DNM1	"Dynamin 1"
ENSG00000092964	DPYSL2	"Dihydropyrimidinase like 2"
ENSG00000146425	DYNLT1	"Dynein light chain Tctex-type 1"
ENSG00000092820	EZR	Ezrin
ENSG00000170264	FAM161A	"FAM161 centrosomal protein A"
ENSG00000137460	FHDC1	"FH2 domain containing 1"
ENSG00000004478	FKBP4	"FKBP prolyl isomerase 4"
ENSG00000073910	FRY	"FRY microtubule binding protein"
ENSG00000163820	FYCO1	"FYVE and coiled-coil domain autophagy adaptor 1"
ENSG00000111640	GAPDH	"Glyceraldehyde-3-phosphate dehydrogenase"
ENSG00000148935	GAS2	"Growth arrest specific 2"
ENSG00000141013	GAS8	"Growth arrest specific 8"
ENSG00000166503	HDGFL3	"HDGF like 3"
ENSG00000126214	KLC1	"Kinesin light chain 1"
ENSG00000174996	KLC2	"Kinesin light chain 2"
ENSG00000138095	LRPPRC	"Leucine rich pentatricopeptide repeat containing"
ENSG00000146826	MAP11	"Microtubule associated protein 11"
ENSG00000069020	MAST4	"Microtubule associated serine/threonine kinase family member 4"
ENSG00000165175	MID1IP1	"MID1 interacting protein 1"
ENSG00000080561	MID2	"Midline 2"
ENSG00000176771	NCKAP5	"NCK associated protein 5"
ENSG00000100285	NEFH	"Neurofilament heavy"
ENSG00000136811	ODF2	"Outer dense fiber of sperm tails 2"
ENSG00000142655	PEX14	"Peroxisomal biogenesis factor 14"
ENSG00000070501	POLB	"DNA polymerase beta"
ENSG00000113575	PPP2CA	"Protein phosphatase 2 catalytic subunit alpha"
ENSG00000067606	PRKCZ	"Protein kinase C zeta"
ENSG00000103769	RAB11A	"RAB11A, member RAS oncogene family"
ENSG00000161800	RACGAP1	"Rac GTPase activating protein 1"
ENSG00000179051	RCC2	"Regulator of chromosome condensation 2"
ENSG00000165476	REEP3	"Receptor accessory protein 3"
ENSG00000168476	REEP4	"Receptor accessory protein 4"
ENSG00000169220	RGS14	"Regulator of G protein signaling 14"
ENSG00000126858	RHOT1	"Ras homolog family member T1"
ENSG00000187164	SHTN1	"Shootin 1"
ENSG00000147642	SYBU	Syntabulin
ENSG00000013810	TACC3	"Transforming acidic coiled-coil containing protein 3"
ENSG00000141933	TPGS1	"Tubulin polyglutamylase complex subunit 1"
ENSG00000175764	TTLL11	"Tubulin tyrosine ligase like 11"
ENSG00000188229	TUBB4B	"Tubulin beta 4B class IVb"
ENSG00000176014	TUBB6	"Tubulin beta 6 class V"
ENSG00000261456	TUBB8	"Tubulin beta 8 class VIII"
ENSG00000173213	TUBB8B	"Tubulin beta 8B"
ENSG00000115073	ACTR1B	"Actin related protein 1B"
ENSG00000070831	CDC42	"Cell division cycle 42"
ENSG00000136108	CKAP2	"Cytoskeleton associated protein 2"
ENSG00000178999	AURKB	"Aurora kinase B"
ENSG00000213066	CEP43	"Centrosomal protein 43"
ENSG00000147400	CETN2	"Centrin 2"
ENSG00000131504	DIAPH1	"Diaphanous related formin 1"
ENSG00000171595	DNAI2	"Dynein axonemal intermediate chain 2"
ENSG00000179532	DNHD1	"Dynein heavy chain domain 1"
ENSG00000126870	DYNC2I1	"Dynein 2 intermediate chain 1"
ENSG00000125971	DYNLRB1	"Dynein light chain roadblock-type 1"
ENSG00000168589	DYNLRB2	"Dynein light chain roadblock-type 2"
ENSG00000165521	EML5	"EMAP like 5"
ENSG00000214595	EML6	"EMAP like 6"
ENSG00000132436	FIGNL1	"Fidgetin like 1"
ENSG00000261308	FIGNL2	"Fidgetin like 2"
ENSG00000082701	GSK3B	"Glycogen synthase kinase 3 beta"
ENSG00000001631	KRIT1	"KRIT1 ankyrin repeat containing"
ENSG00000173327	MAP3K11	"Mitogen-activated protein kinase kinase kinase 11"
ENSG00000099308	MAST3	"Microtubule associated serine/threonine kinase 3"
ENSG00000080986	NDC80	"NDC80 kinetochore complex component"
ENSG00000117650	NEK2	"NIMA related kinase 2"
ENSG00000132341	RAN	"RAN, member RAS oncogene family"
ENSG00000183638	RP1L1	"RP1 like 1"
ENSG00000068903	SIRT2	"Sirtuin 2"
ENSG00000159433	STARD9	"StAR related lipid transfer domain containing 9"
ENSG00000138162	TACC2	"Transforming acidic coiled-coil containing protein 2"
ENSG00000167858	TEKT1	"Tektin 1"
ENSG00000204104	TRAF3IP1	"TRAF3 interacting protein 1"
ENSG00000243910	TUBA4B	"Tubulin alpha 4b"
ENSG00000178462	TUBAL3	"Tubulin alpha like 3"
ENSG00000108423	TUBD1	"Tubulin delta 1"
ENSG00000119541	VPS4B	"Vacuolar protein sorting 4 homolog B"
ENSG00000176155	CCDC57	"Coiled-coil domain containing 57"
ENSG00000141577	CEP131	"Centrosomal protein 131"
ENSG00000149557	FEZ1	"Fasciculation and elongation protein zeta 1"
ENSG00000173226	IQCB1	"IQ motif containing B1"
ENSG00000170584	NUDCD2	"NudC domain containing 2"
ENSG00000046651	OFD1	"OFD1 centriole and centriolar satellite protein"
ENSG00000163558	PRKCI	"Protein kinase C iota"
ENSG00000171530	TBCA	"Tubulin folding cofactor A"
ENSG00000131044	TTLL9	"Tubulin tyrosine ligase like 9"
ENSG00000101447	FAM83D	"Family with sequence similarity 83 member D"
ENSG00000097007	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ENSG00000285920	AC087721.2	"Novel protein"
ENSG00000106948	AKNA	"AT-hook transcription factor"
ENSG00000256500	AL139300.1	"Novel protein"
ENSG00000124198	ARFGEF2	"ADP ribosylation factor guanine nucleotide exchange factor 2"
ENSG00000105146	AURKC	"Aurora kinase C"
ENSG00000112208	BAG2	"BAG cochaperone 2"
ENSG00000153094	BCL2L11	"BCL2 like 11"
ENSG00000135127	BICDL1	"BICD family like cargo adaptor 1"
ENSG00000196072	BLOC1S2	"Biogenesis of lysosomal organelles complex 1 subunit 2"
ENSG00000166780	BMERB1	"BMERB domain containing 1"
ENSG00000145919	BOD1	"Biorientation of chromosomes in cell division 1"
ENSG00000228075	BOD1L2	"Biorientation of chromosomes in cell division 1 like 2"
ENSG00000160469	BRSK1	"BR serine/threonine kinase 1"
ENSG00000174672	BRSK2	"BR serine/threonine kinase 2"
ENSG00000154493	C10orf90	"Chromosome 10 open reading frame 90"
ENSG00000205129	C4orf47	"Chromosome 4 open reading frame 47"
ENSG00000182533	CAV3	"Caveolin 3"
ENSG00000244607	CCDC13	"Coiled-coil domain containing 13"
ENSG00000120262	CCDC170	"Coiled-coil domain containing 170"
ENSG00000117477	CCDC181	"Coiled-coil domain containing 181"
ENSG00000260220	CCDC187	"Coiled-coil domain containing 187"
ENSG00000104983	CCDC61	"Coiled-coil domain containing 61"
ENSG00000169515	CCDC8	"Coiled-coil domain containing 8"
ENSG00000115355	CCDC88A	"Coiled-coil domain containing 88A"
ENSG00000015133	CCDC88C	"Coiled-coil domain containing 88C"
ENSG00000115484	CCT4	"Chaperonin containing TCP1 subunit 4"
ENSG00000150753	CCT5	"Chaperonin containing TCP1 subunit 5"
ENSG00000156261	CCT8	"Chaperonin containing TCP1 subunit 8"
ENSG00000079335	CDC14A	"Cell division cycle 14A"
ENSG00000167797	CDK2AP2	"Cyclin dependent kinase 2 associated protein 2"
ENSG00000164885	CDK5	"Cyclin dependent kinase 5"
ENSG00000108465	CDK5RAP3	"CDK5 regulatory subunit associated protein 3"
ENSG00000110318	CEP126	"Centrosomal protein 126"
ENSG00000135315	CEP162	"Centrosomal protein 162"
ENSG00000133393	CEP20	"Centrosomal protein 20"
ENSG00000164118	CEP44	"Centrosomal protein 44"
ENSG00000114107	CEP70	"Centrosomal protein 70"
ENSG00000130695	CEP85	"Centrosomal protein 85"
ENSG00000177143	CETN1	"Centrin 1"
ENSG00000153140	CETN3	"Centrin 3"
ENSG00000198824	CHAMP1	"Chromosome alignment maintaining phosphoprotein 1"
ENSG00000169504	CLIC4	"Chloride intracellular channel 4"
ENSG00000173786	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"
ENSG00000119397	CNTRL	Centriolin
ENSG00000072832	CRMP1	"Collapsin response mediator protein 1"
ENSG00000104218	CSPP1	"Centrosome and spindle pole associated protein 1"
ENSG00000036257	CUL3	"Cullin 3"
ENSG00000044090	CUL7	"Cullin 7"
ENSG00000214866	DCDC2C	"Doublecortin domain containing 2C"
ENSG00000133083	DCLK1	"Doublecortin like kinase 1"
ENSG00000122735	DNAI1	"Dynein axonemal intermediate chain 1"
ENSG00000087470	DNM1L	"Dynamin 1 like"
ENSG00000185721	DRG1	"Developmentally regulated GTP binding protein 1"
ENSG00000165169	DYNLT3	"Dynein light chain Tctex-type 3"
ENSG00000157540	DYRK1A	"Dual specificity tyrosine phosphorylation regulated kinase 1A"
ENSG00000124074	ENKD1	"Enkurin domain containing 1"
ENSG00000184731	FAM110C	"Family with sequence similarity 110 member C"
ENSG00000156050	FAM161B	"FAM161 centrosomal protein B"
ENSG00000151422	FER	"FER tyrosine kinase"
ENSG00000168522	FNTA	"Farnesyltransferase, CAAX box, alpha"
ENSG00000135968	GCC2	"GRIP and coiled-coil domain containing 2"
ENSG00000173805	HAP1	"Huntingtin associated protein 1"
ENSG00000185122	HSF1	"Heat shock transcription factor 1"
ENSG00000204389	HSPA1A	"Heat shock protein family A (Hsp70) member 1A"
ENSG00000204388	HSPA1B	"Heat shock protein family A (Hsp70) member 1B"
ENSG00000140575	IQGAP1	"IQ motif containing GTPase activating protein 1"
ENSG00000118308	IRAG2	"Inositol 1,4,5-triphosphate receptor associated 2"
ENSG00000161609	KASH5	"KASH domain containing 5"
ENSG00000137171	KLC4	"Kinesin light chain 4"
ENSG00000116871	MAP7D1	"MAP7 domain containing 1"
ENSG00000184368	MAP7D2	"MAP7 domain containing 2"
ENSG00000103313	MEFV	"MEFV innate immuity regulator, pyrin"
ENSG00000135596	MICAL1	"Microtubule associated monooxygenase, calponin and LIM domain containing 1"
ENSG00000133816	MICAL2	"Microtubule associated monooxygenase, calponin and LIM domain containing 2"
ENSG00000243156	MICAL3	"Microtubule associated monooxygenase, calponin and LIM domain containing 3"
ENSG00000158411	MITD1	"Microtubule interacting and trafficking domain containing 1"
